Movie Name,Director,Year,Jump Count,Jump Scare Rating,Netflix (US),URL,IMDB,Summary,Rating,SRT Link
Annihilation,Alex Garland,2018,4,1.5,Yes,https://wheresthejump.com/jump-scares-in-annihilation-2018/,tt2798920,"Jump Scares: 4 (1 major, 3 minor)","A handful of jump scares involving the sudden appearance of two animals. The first jump scare, which occurs half an hour in, is probably the most significant.",https://wheresthejump.com/subtitles/Annihilation-2018.srt
Antebellum,"Gerard Bush, Christopher Renz",2020,2,0.5,No,https://wheresthejump.com/jump-scares-in-antebellum-2020/,tt10065694,Jump Scares: 2 (2 minor),"Despite being listed as a horror film on almost every site and advertised like a surreal mind bending sci-fi, Antebellum is, in fact, none of those things. It’s much more of a drama that sometimes has brief thriller elements with only two minor jump scares that probably will not make anyone jump.",https://wheresthejump.com/subtitles/Antebellum-2020.srt
Antlers,Scott Cooper,2021,4,1.0,No,https://wheresthejump.com/jump-scares-in-antlers-2021/,tt7740510,Jump Scares: 4 (4 minor),"While there are a few jump scares, they are all very minor despite not being telegraphed.",Antlers.srt
Antrum: The Deadliest Film Ever Made.,"David Amito, Michael Laicini",2018,0,0.0,No,https://wheresthejump.com/jump-scares-in-antrum-2018/,tt9213244,Jump Scares: 0,"Unsettling and disturbing at times, but completely free of jump scares. It should also go without saying that the cursed film story was used for marketing and setting up the plot, and viewers will not actually die for watching the movie.",
Anything For Jackson,Justin G. Dyck,2020,7,3.0,No,https://wheresthejump.com/jump-scares-in-anything-for-jackson-2020/,tt12137964,Jump Scares: 7 (7 minor),"While there are a steady amount of jumps throughout, there aren’t any particularly jarring ones.",Anything For Jackson.srt
Apollo 18,Gonzalo López-Gallego,2011,10,3.0,No,https://wheresthejump.com/jump-scares-in-apollo-18-2011/,tt1772240,"Jump Scares: 10 (1 major, 9 minor)","Apollo 18 has less jump scares than similar found footage films, nevertheless viewers should expect a few in the middle and latter stages with the most significant occuring at 26:48.",https://wheresthejump.com/subtitles/Apollo-18-2011.srt
Apostle,Gareth Evans,2018,5,1.5,Yes,https://wheresthejump.com/jump-scares-in-apostle-2018/,tt6217306,Jump Scares: 5 (5 minor),"Although there are some minor jump scares in Apostle, they are not a prominent part of the movie. There are several gory scenes that may be offputting for squeamish viewers.",https://wheresthejump.com/subtitles/Apostle-2018.srt
Aquaslash,Renaud Gauthier,2019,0,0.0,No,https://wheresthejump.com/jump-scares-in-aquaslash-2019/,tt7286836,Jump Scares: 0,"Despite being advertised like a slasher movie, Aquaslash only contains one 20 minute long final sequence that could be considered horror, which contains some gore but no jump scares.",
Area 51,Oren Peli,2015,4,1.0,No,https://wheresthejump.com/jump-scares-in-area-51-2015/,tt1519461,Jump Scares: 4 (4 minor),A minimal number of jump scares. Especially mininal for the found footage genre.,https://wheresthejump.com/subtitles/Area-51-2015.srt
Army of Darkness – Director’s Cut,Sam Raimi,1992,8,2.0,No,https://wheresthejump.com/jump-scares-in-army-of-darkness-1992-director-cut/,tt0106308,Jump Scares: 8 (8 minor),Army of Darkness contains a lot less horror elements than the Evil Dead movies. There are minor jump scares only and most are in the first half.,https://wheresthejump.com/subtitles/Army-of-Darkness---Directors-Cut-1992.srt
Army of Darkness – Theatrical Cut,Sam Raimi,1992,9,2.0,No,https://wheresthejump.com/jump-scares-in-army-of-darkness-1992/,tt0106308,Jump Scares: 9 (9 minor),Army of Darkness contains a lot less horror elements than the Evil Dead movies. There are minor jump scares only and most are in the first half.,https://wheresthejump.com/subtitles/Army-of-Darkness---Theatrical-Cut-1992.srt
Arrival,Denis Villeneuve,2016,3,0.5,No,https://wheresthejump.com/jump-scares-in-arrival-2016/,tt2543164,Jump Scares: 3 (3 minor),Arrival builds significant tension leading up to Louise’s first encounter with the aliens but no jump scares are used. There are a couple of minor jump scares further into the movie but nothing will cause viewers much alarm.,https://wheresthejump.com/subtitles/Arrival-2016.srt
"As Above, So Below",John Erick Dowdle,2014,7,3.0,Yes,https://wheresthejump.com/jump-scares-in-as-above-so-below-2014/,tt2870612,"Jump Scares: 7 (2 major, 5 minor)",Most of the jumps are found in the last third of the movie. These are quite startling but the rest of the movie contains only one arguable jump.,https://wheresthejump.com/subtitles/As-Above-So-Below-2014.srt
Attack the Block,Joe Cornish,2011,12,3.0,No,https://wheresthejump.com/jump-scares-in-attack-the-block-2011/,tt1478964,"Jump Scares: 12 (2 major, 10 minor)",Fairly minor scares in the form of loud bangs and the alien creatures suddenly appearing. The two most significant scares occur about half way through the movie.,https://wheresthejump.com/subtitles/Attack-the-Block-2011.srt
Audition,Takashi Miike,1999,1,0.5,No,https://wheresthejump.com/jump-scares-in-audition-1999/,tt0235198,Jump Scares: 1 (1 major),Largely free of jump scares however there are some very disturbing scenes towards the end of the movie. Not recommended for sensitive individuals.,https://wheresthejump.com/subtitles/Audition-1999.srt
Await Further Instructions,Johnny Kevorkian,2018,10,2.0,Yes,https://wheresthejump.com/jump-scares-in-await-further-instructions-2018/,tt4971408,Jump Scares: 10 (10 minor),Not heavily reliant on jump scares to convey tension and unease. Mostly minor jump scares that are well telegraphed.,https://wheresthejump.com/subtitles/Await-Further-Instructions-2018.srt
Backcountry,Adam MacDonald,2014,4,0.5,Yes,https://wheresthejump.com/jump-scares-in-backcountry-2014/,tt2944198,Jump Scares: 4 (4 minor),Largely jump scare free however there are some particularly gruesome scenes that occur at about the one hour point.,https://wheresthejump.com/subtitles/Backcountry-2014.srt
Backtrack,Michael Petroni,2015,14,3.5,No,https://wheresthejump.com/jump-scares-in-backtrack-2015/,tt2784936,"Jump Scares: 14 (2 major, 12 minor)","Some moderately startling jump scares, mainly in the second half of the film.",https://wheresthejump.com/subtitles/Backtrack-2015.srt
Banshee Chapter,Blair Erickson,2013,22,5.0,No,https://wheresthejump.com/jump-scares-in-banshee-chapter-2013/,tt2011276,"Jump Scares: 22 (7 major, 15 minor)","Despite the low budget, director Blair Erickson manages to produce a tense and unsettling film with several high impact jump scares. Banshee Chapter is not recommended for those who scare easily.",https://wheresthejump.com/subtitles/Banshee-Chapter-2013.srt
Basket Case,Frank Henenlotter,1982,4,2.5,No,https://wheresthejump.com/jump-scares-in-basket-case-1982/,tt0083624,Jump Scares: 4 (4 minor),Only a few jump scares that are very telegraphed.,Basket Case.srt
Baskin,Can Evrenol,2015,2,0.5,No,https://wheresthejump.com/jump-scares-in-baskin-2015/,tt4935418,Jump Scares: 2 (2 minor),"Two very minor jump scares after the cops first enter Inceagac, but jump scare free from there onwards.",https://wheresthejump.com/subtitles/Baskin-2015.srt
Beauty and the Beast,Juraj Herz,1978,2,0.5,No,https://wheresthejump.com/jump-scares-in-beauty-and-the-beast-1978/,tt0078054,Jump Scares: 2 (2 minor),"Despite being classified as a horror movie on most sites, the movie is much more focused on the romance and drama. A scene involving an animal bazaar near the start may have squeamish viewers distressed, but the rest of the movie is relatively tame.",https://wheresthejump.com/subtitles/Beauty-and-the-Beast-1978.srt
Before I Wake,Mike Flanagan,2016,9,3.0,Yes,https://wheresthejump.com/jump-scares-in-before-i-wake-2016/,tt3174376,"Jump Scares: 9 (2 major, 7 minor)","More of a fantasy/supernatural drama than horror movie, Before I Wake isn’t overly scary although there are some significant jump scares in the second half of the movie.",https://wheresthejump.com/subtitles/Before-I-Wake-2016.srt
Behind You,Andrew Mecham,2020,8,2.5,No,https://wheresthejump.com/jump-scares-in-behind-you-2020/,tt7335796,"Jump Scares: 8 (1 major, 7 minor)","Behind You is a entertaining yet flawed movie with surprisingly not a lot of jump scares. The jump scares, however are nearly all minor. There is one that is quite effective featuring a scene in a bathroom.",https://wheresthejump.com/subtitles/Behind-You-2020.srt
Below,David Twohy,2002,11,3.0,No,https://wheresthejump.com/jump-scares-in-below-2002/,tt0276816,"Jump Scares: 11 (3 major, 8 minor)","Some jump scares, with some effective ones, but many are predictable.",https://wheresthejump.com/subtitles/Below-2002.srt
Benny Loves You,Karl Holt,2019,5,2.0,No,https://wheresthejump.com/jump-scares-in-benny-loves-you-2019/,tt3917506,Jump Scares: 5 (5 minor),"Despite the comedic tone and children’s toys, there are a few minor jump scares along the way.",Benny Loves You.srt
Berberian Sound Studio,Peter Strickland,2012,0,0.0,No,https://wheresthejump.com/jump-scares-in-berberian-sound-studio-2012/,tt1833844,Jump Scares: 0,No real jump scares however a scream at 44:23 and the sound of a match being lit at 1:01:45 may startle those who are using headphones or who have the volume turned up.,
Berlin Syndrome,Cate Shortland,2017,1,0.5,No,https://wheresthejump.com/jump-scares-in-berlin-syndrome-2017/,tt3335606,Jump Scares: 1 (1 minor),Some tense scenes but only one jump scare early in the movie.,https://wheresthejump.com/subtitles/Berlin-Syndrome-2017.srt
Better Watch Out,Chris Peckover,2016,11,2.5,No,https://wheresthejump.com/jump-scares-in-better-watch-out-2016/,tt4443658,Jump Scares: 11 (11 minor),The scares in Better Watch Out are minor and are almost all in the first 30 minutes.,https://wheresthejump.com/subtitles/Better-Watch-Out-2016.srt
Bird Box,Susanne Bier,2018,4,0.5,Yes,https://wheresthejump.com/jump-scares-in-bird-box-2018/,tt2737304,Jump Scares: 4 (4 minor),"Although there are some horror elements, the jump scares are very minimal and even easily frightened viewers should handle Bird Box with ease.",https://wheresthejump.com/subtitles/Bird-Box-2018.srt
Black Christmas,Bob Clark,1974,4,1.5,No,https://wheresthejump.com/jump-scares-in-black-christmas-1974/,tt0071222,"Jump Scares: 4 (1 major, 3 minor)",There aren’t many jump scares in Black Christmas although the first kill does feature quite an effective one.,https://wheresthejump.com/subtitles/Black-Christmas-1974.srt
Black Christmas,Sophia Takal,2019,8,2.5,No,https://wheresthejump.com/jump-scares-in-black-christmas-2019/,tt10481868,"Jump Scares: 8 (1 major, 7 minor)",A terrible movie with predictable genre-typical jump scares. Only a moment comes in an unexpected place.,https://wheresthejump.com/subtitles/Black-Christmas-2019.srt
Black Friday,Casey Tebo,2021,6,2.0,No,https://wheresthejump.com/jump-scares-in-black-friday-2021/,tt11649338,"Jump Scares: 6 (1 major, 5 minor)",A few minor jump scares. One major,https://wheresthejump.com/subtitles/Black-Friday-2021.srt
